,plot_id,center_lon,center_lat,size_m,shape,sample_points,email,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,pl_plotid,Land Cover Elements:Trees_CanopyCover,Land Cover Elements:bush/scrub,Land Cover Elements:grass,Land Cover Elements:cultivated vegetation,Land Cover Elements:Water>treated pool,Land Cover Elements:Water>lake/ponded/container,Land Cover Elements:Water>rivers/stream,Land Cover Elements:Water>irrigation ditch,Land Cover Elements:shadow,Land Cover Elements:unknown,Land Cover Elements:Bare Ground,Land Cover Elements:Building,Land Cover Elements:Impervious Surface (no building),AOI Number
0,140877071,-89.568191,43.076827,square,100.0,100,52,False,,100.0,2021-07-12 20:13,199.6 secs,,0,0,19.0,14.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
1,140877072,-89.58358109662937,43.08806852007399,square,100.0,100,52,False,,100.0,2021-07-12 20:16,193.6 secs,,0,1,0.0,67.0,19.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
13,140877084,-89.58358109662937,43.0790753040148,square,100.0,100,2,False,,100.0,2021-07-20 00:51,17.7 secs,,0,13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,140877089,-89.55280090337061,43.0790753040148,square,100.0,100,2,False,,100.0,2021-07-20 20:26,25.5 secs,,0,18,0.0,8.0,0.0,27.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,17.0,41.0,0.0
30,140877101,-89.55280090337061,43.07008208795561,square,100.0,100,2,False,,99.0,2021-07-20 17:38,24.4 secs,,0,30,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,140877085,-89.57742505797762,43.0790753040148,square,100.0,100,2,False,,97.0,2021-07-20 00:52,64.5 secs,,0,14,39.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
6,140877077,-89.55280090337061,43.08806852007399,square,100.0,100,2,False,,95.0,2021-07-20 00:19,169.1 secs,,0,6,50.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0
7,140877078,-89.58358109662937,43.0835719120444,square,100.0,100,2,False,,95.0,2021-07-20 00:20,61.7 secs,,0,7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,140877097,-89.57742505797762,43.07008208795561,square,100.0,100,30,False,,95.0,2021-07-12 20:32,54938.6 secs,,0,26,9.0,2.0,57.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,6.0,12.0,0.0
28,140877099,-89.56511298067412,43.07008208795561,square,100.0,100,2,False,,95.0,2021-07-20 20:31,5.9 secs,,0,28,0.0,4.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
