,plot_id,center_lon,center_lat,size_m,shape,sample_points,email,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,pl_plotid,Land Cover Elements:Trees_CanopyCover,Land Cover Elements:bush/scrub,Land Cover Elements:grass,Land Cover Elements:cultivated vegetation,Land Cover Elements:Water>treated pool,Land Cover Elements:Water>lake/ponded/container,Land Cover Elements:Water>rivers/stream,Land Cover Elements:Water>irrigation ditch,Land Cover Elements:shadow,Land Cover Elements:unknown,Land Cover Elements:Bare Ground,Land Cover Elements:Building,Land Cover Elements:Impervious Surface (no building),AOI Number
0,140877071,-89.568191,43.076827,square,100.0,100,51,False,,100.0,2021-07-12 20:13,199.6 secs,,0,0,19.0,14.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2058,140879129,-96.7327307871078,33.127086695985206,square,100.0,100,3,False,,100.0,2021-07-16 18:04,202.1 secs,,0,5523,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,66.0,55.0
2056,140879127,-96.74346973763072,33.127086695985206,square,100.0,100,3,False,,100.0,2021-07-16 05:26,825.2 secs,,0,5521,5.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,31.0,55.0
2055,140879126,-96.7488392128922,33.127086695985206,square,100.0,100,3,False,,100.0,2021-07-16 05:12,330.0 secs,,0,5520,16.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,34.0,55.0
2054,140879125,-96.75420868815368,33.127086695985206,square,100.0,100,3,False,,100.0,2021-07-16 05:07,373.9 secs,,0,5519,2.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,33.0,55.0
2053,140879124,-96.72736131184632,33.1315833040148,square,100.0,100,3,False,,100.0,2021-07-16 05:00,222.7 secs,,0,5518,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,9.0,23.0,55.0
2052,140879123,-96.7327307871078,33.1315833040148,square,100.0,100,3,False,,100.0,2021-07-16 04:57,207.6 secs,,0,5517,5.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,68.0,55.0
2051,140879122,-96.73810026236926,33.1315833040148,square,100.0,100,3,False,,100.0,2021-07-16 04:53,309.5 secs,,0,5516,18.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,55.0
2050,140879121,-96.74346973763072,33.1315833040148,square,100.0,100,3,False,,100.0,2021-07-16 04:48,215.5 secs,,0,5515,33.0,0.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,55.0
2049,140879120,-96.7488392128922,33.1315833040148,square,100.0,100,3,False,,100.0,2021-07-16 04:44,4855.8 secs,,0,5514,16.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,32.0,55.0
2048,140879119,-96.75420868815368,33.1315833040148,square,100.0,100,3,False,,100.0,2021-07-16 03:23,262.3 secs,,0,5513,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,15.0,18.0,55.0
2047,140879118,-96.72736131184632,33.136079912044394,square,100.0,100,3,False,,100.0,2021-07-16 03:19,196.9 secs,,0,5512,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,10.0,55.0
2046,140879117,-96.7327307871078,33.136079912044394,square,100.0,100,3,False,,100.0,2021-07-16 03:16,71.4 secs,,0,5511,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,29.0,55.0
2045,140879116,-96.73810026236926,33.136079912044394,square,100.0,100,3,False,,100.0,2021-07-16 03:15,780.6 secs,,0,5510,25.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,23.0,55.0
2044,140879115,-96.74346973763072,33.136079912044394,square,100.0,100,3,False,,100.0,2021-07-16 03:02,555.4 secs,,0,5509,12.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,25.0,55.0
2043,140879114,-96.7488392128922,33.136079912044394,square,100.0,100,3,False,,100.0,2021-07-16 02:52,121.4 secs,,0,5508,16.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,55.0
2042,140879113,-96.75420868815368,33.136079912044394,square,100.0,100,3,False,,100.0,2021-07-16 02:50,235.1 secs,,0,5507,11.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,26.0,55.0
2041,140879112,-96.72736131184632,33.140576520073985,square,100.0,100,3,False,,100.0,2021-07-16 02:46,216.9 secs,,0,5506,12.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,15.0,55.0
2040,140879111,-96.7327307871078,33.140576520073985,square,100.0,100,3,False,,100.0,2021-07-16 02:43,199.8 secs,,0,5505,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,30.0,55.0
2039,140879110,-96.73810026236926,33.140576520073985,square,100.0,100,3,False,,100.0,2021-07-16 02:39,109.4 secs,,0,5504,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
2038,140879109,-96.74346973763072,33.140576520073985,square,100.0,100,3,False,,100.0,2021-07-16 02:37,184.7 secs,,0,5503,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,55.0
2037,140879108,-96.7488392128922,33.140576520073985,square,100.0,100,3,False,,100.0,2021-07-16 02:34,699.4 secs,,0,5502,64.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,55.0
2036,140879107,-96.75420868815368,33.140576520073985,square,100.0,100,3,False,,100.0,2021-07-16 02:23,10454.0 secs,,0,5501,5.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,14.0,55.0
2035,140879106,-96.740785,33.129335,square,100.0,100,3,False,,100.0,2021-07-17 02:37,208.9 secs,,0,5500,11.0,10.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,9.0,55.0
2029,140879100,-75.17674372628163,39.98393747992602,square,100.0,100,34,False,,100.0,2021-08-09 00:53,412.7 secs,,0,5431,11.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,45.0,54.0
2028,140879099,-75.14739627371837,39.98843408795561,square,100.0,100,34,False,,100.0,2021-08-09 00:46,234.0 secs,,0,5430,22.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,35.0,54.0
2017,140879088,-75.17674372628163,39.99293069598521,square,100.0,100,34,False,,100.0,2021-08-08 20:30,261.2 secs,,0,5419,35.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,32.0,54.0
2057,140879128,-96.73810026236926,33.127086695985206,square,100.0,100,3,False,,100.0,2021-07-16 18:01,226.3 secs,,0,5522,56.0,0.0,38.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,55.0
2059,140879130,-96.72736131184632,33.127086695985206,square,100.0,100,3,False,,100.0,2021-07-16 18:06,99.0 secs,,0,5524,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,55.0
1234,140878305,-88.64862098659233,47.2302723040148,square,100.0,100,6,False,,100.0,2021-07-14 23:43,9.4 secs,,0,3313,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
2060,140879131,-96.75420868815368,33.12259008795561,square,100.0,100,3,False,,100.0,2021-07-16 18:08,130.6 secs,,0,5525,3.0,0.0,5.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,55.0
2106,140879177,-97.77639690323562,30.253758479926017,square,100.0,100,20,False,,100.0,2021-07-25 18:05,808.4 secs,,0,5634,50.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,16.0,56.0
2086,140879157,-97.78680929029308,30.2672483040148,square,100.0,100,20,False,,100.0,2021-07-24 21:02,3168.5 secs,,0,5614,48.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.0,56.0
2084,140879155,-97.76598451617816,30.27174491204439,square,100.0,100,20,False,,100.0,2021-07-24 17:38,918.8 secs,,0,5612,3.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,27.0,56.0
