system:index,median,plot_id,.geo
0,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34086061907809,36.144394298611026]}"
1,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34074925312318,36.144394298611026]}"
2,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34063788716826,36.144394298611026]}"
3,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34052652121332,36.144394298611026]}"
4,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34041515525841,36.144394298611026]}"
5,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34030378930348,36.144394298611026]}"
6,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34019242334854,36.144394298611026]}"
7,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34008105739363,36.144394298611026]}"
8,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.3399696914387,36.144394298611026]}"
9,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.33985832548376,36.144394298611026]}"
10,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34086061907809,36.144304366450434]}"
11,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34074925312318,36.14430436645044]}"
12,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34063788716826,36.144304366450434]}"
13,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34052652121332,36.14430436645044]}"
14,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34041515525841,36.144304366450434]}"
15,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.3403037893035,36.144304366450434]}"
16,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34019242334854,36.144304366450434]}"
17,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34008105739363,36.144304366450434]}"
18,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.3399696914387,36.144304366450434]}"
19,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.33985832548376,36.144304366450434]}"
20,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34086061907809,36.14421443428984]}"
21,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34074925312318,36.14421443428984]}"
22,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34063788716826,36.14421443428984]}"
23,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34052652121332,36.14421443428985]}"
24,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34041515525841,36.14421443428984]}"
25,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.3403037893035,36.14421443428985]}"
26,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34019242334854,36.14421443428984]}"
27,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34008105739363,36.14421443428984]}"
28,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.3399696914387,36.14421443428985]}"
29,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.33985832548376,36.14421443428984]}"
30,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34086061907809,36.14412450212925]}"
31,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34074925312318,36.14412450212925]}"
32,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34063788716826,36.14412450212925]}"
33,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34052652121332,36.14412450212925]}"
34,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34041515525841,36.14412450212925]}"
35,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34030378930348,36.14412450212925]}"
36,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34019242334854,36.14412450212925]}"
37,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.3400810573936,36.14412450212925]}"
38,10.0,1504,"{""type"":""Point"",""coordinates"":[-115.3399696914387,36.14412450212925]}"
39,10.0,1504,"{""type"":""Point"",""coordinates"":[-115.33985832548376,36.14412450212925]}"
40,10.0,1504,"{""type"":""Point"",""coordinates"":[-115.34086061907809,36.14403456996867]}"
41,10.0,1504,"{""type"":""Point"",""coordinates"":[-115.34074925312318,36.14403456996867]}"
42,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34063788716826,36.14403456996866]}"
43,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34052652121332,36.14403456996867]}"
44,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34041515525841,36.14403456996866]}"
45,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.3403037893035,36.14403456996867]}"
46,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34019242334854,36.14403456996867]}"
47,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34008105739363,36.14403456996867]}"
48,10.0,1504,"{""type"":""Point"",""coordinates"":[-115.3399696914387,36.14403456996867]}"
49,10.0,1504,"{""type"":""Point"",""coordinates"":[-115.33985832548376,36.14403456996867]}"
50,20.0,1504,"{""type"":""Point"",""coordinates"":[-115.34086061907809,36.14394463780807]}"
51,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34074925312318,36.14394463780807]}"
52,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34063788716826,36.143944637808076]}"
53,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34052652121332,36.14394463780807]}"
54,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34041515525841,36.14394463780807]}"
55,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.3403037893035,36.14394463780807]}"
56,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34019242334854,36.14394463780807]}"
57,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34008105739363,36.14394463780807]}"
58,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.3399696914387,36.143944637808076]}"
59,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.33985832548376,36.14394463780807]}"
60,60.0,1504,"{""type"":""Point"",""coordinates"":[-115.34086061907809,36.14385470564748]}"
61,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34074925312318,36.14385470564748]}"
62,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34063788716826,36.14385470564748]}"
63,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34052652121332,36.14385470564748]}"
64,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34041515525841,36.14385470564748]}"
65,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.3403037893035,36.143854705647485]}"
66,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34019242334854,36.14385470564748]}"
67,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34008105739363,36.14385470564748]}"
68,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.3399696914387,36.14385470564748]}"
69,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.33985832548376,36.143854705647485]}"
70,60.0,1504,"{""type"":""Point"",""coordinates"":[-115.34086061907809,36.14376477348689]}"
71,60.0,1504,"{""type"":""Point"",""coordinates"":[-115.34074925312318,36.14376477348689]}"
72,50.0,1504,"{""type"":""Point"",""coordinates"":[-115.34063788716826,36.14376477348689]}"
