system:index,classification,median,plotid,.geo
0,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21525461467238,40.82331520508677]}"
1,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21525461467238,40.823389980989504]}"
2,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21525461467238,40.82346475680796]}"
3,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21525461467238,40.82376385923863]}"
4,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21525461467238,40.823838634635536]}"
5,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21525461467238,40.823913409948126]}"
6,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21515579999111,40.82331520508677]}"
7,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21515579999111,40.823389980989504]}"
8,Cropland,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21515579999111,40.82346475680796]}"
9,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21515579999111,40.82353953254207]}"
10,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21515579999111,40.82361430819191]}"
11,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21515579999111,40.82376385923863]}"
12,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21515579999111,40.823838634635536]}"
13,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21515579999111,40.82391340994812]}"
14,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21515579999111,40.823988185176425]}"
15,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21505698530984,40.82331520508677]}"
16,Cropland,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21505698530984,40.82346475680796]}"
17,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21505698530984,40.82353953254207]}"
18,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21505698530984,40.82361430819191]}"
19,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21505698530984,40.823689083757415]}"
20,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21505698530984,40.82376385923863]}"
21,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21505698530984,40.823838634635536]}"
22,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21495817062858,40.82331520508677]}"
23,Cropland,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21495817062858,40.823389980989504]}"
24,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21495817062858,40.82346475680796]}"
25,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21495817062858,40.82361430819191]}"
26,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21495817062858,40.823689083757415]}"
27,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21495817062858,40.82376385923863]}"
28,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21495817062858,40.823838634635536]}"
29,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21495817062858,40.82391340994812]}"
30,Built-up,50.0,5220,"{""type"":""Point"",""coordinates"":[-74.21485935594731,40.823389980989504]}"
31,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21485935594731,40.823464756807965]}"
32,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21485935594731,40.82353953254207]}"
33,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21485935594731,40.82361430819191]}"
34,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21485935594731,40.823689083757415]}"
35,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21485935594731,40.82391340994812]}"
36,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21485935594731,40.823988185176425]}"
37,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21476054126605,40.82331520508677]}"
38,Built-up,50.0,5220,"{""type"":""Point"",""coordinates"":[-74.21476054126605,40.823389980989504]}"
39,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21476054126605,40.823464756807965]}"
40,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21476054126605,40.82353953254207]}"
41,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21476054126605,40.82361430819191]}"
42,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21476054126605,40.82368908375742]}"
43,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21476054126605,40.82376385923863]}"
44,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21476054126605,40.823838634635536]}"
45,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21476054126605,40.823913409948126]}"
46,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21476054126605,40.823988185176425]}"
47,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21466172658478,40.82331520508677]}"
48,Built-up,50.0,5220,"{""type"":""Point"",""coordinates"":[-74.21466172658478,40.823389980989504]}"
49,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21466172658478,40.82346475680796]}"
50,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21466172658478,40.82353953254208]}"
51,Built-up,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21466172658478,40.82361430819191]}"
52,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21466172658478,40.82368908375742]}"
53,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21466172658478,40.82376385923863]}"
54,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21466172658478,40.823838634635536]}"
55,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21466172658478,40.823913409948126]}"
56,Trees,10.0,5220,"{""type"":""Point"",""coordinates"":[-74.21466172658478,40.823988185176425]}"
57,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20960866361587,40.82331520508677]}"
58,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20960866361587,40.823389980989504]}"
59,Trees,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20960866361587,40.82346475680796]}"
60,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20960866361587,40.82353953254207]}"
61,Trees,10.0,5221,"{""type"":""Point"",""coordinates"":[-74.20960866361587,40.82361430819191]}"
62,Trees,10.0,5221,"{""type"":""Point"",""coordinates"":[-74.20960866361587,40.823689083757415]}"
63,Built-up,10.0,5221,"{""type"":""Point"",""coordinates"":[-74.20960866361587,40.823763859238625]}"
64,Built-up,60.0,5221,"{""type"":""Point"",""coordinates"":[-74.20960866361587,40.82391340994812]}"
65,Built-up,60.0,5221,"{""type"":""Point"",""coordinates"":[-74.20960866361587,40.823988185176425]}"
66,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.2095098489346,40.82331520508677]}"
67,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.2095098489346,40.82353953254207]}"
68,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.2095098489346,40.8236143081919]}"
69,Trees,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.2095098489346,40.82368908375741]}"
70,Built-up,60.0,5221,"{""type"":""Point"",""coordinates"":[-74.2095098489346,40.823763859238625]}"
71,Built-up,60.0,5221,"{""type"":""Point"",""coordinates"":[-74.2095098489346,40.823988185176425]}"
72,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20941103425334,40.82331520508677]}"
73,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20941103425334,40.823389980989504]}"
74,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20941103425334,40.823464756807965]}"
75,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20941103425334,40.823689083757415]}"
76,Built-up,10.0,5221,"{""type"":""Point"",""coordinates"":[-74.20941103425334,40.82376385923863]}"
77,Trees,10.0,5221,"{""type"":""Point"",""coordinates"":[-74.20941103425334,40.823838634635536]}"
78,Trees,10.0,5221,"{""type"":""Point"",""coordinates"":[-74.20941103425334,40.823913409948126]}"
79,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20931221957207,40.82331520508677]}"
80,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20931221957207,40.82338998098951]}"
81,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20931221957207,40.82346475680796]}"
82,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20931221957207,40.82353953254208]}"
83,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20931221957207,40.82361430819191]}"
84,Built-up,10.0,5221,"{""type"":""Point"",""coordinates"":[-74.20931221957207,40.82383863463554]}"
85,Built-up,10.0,5221,"{""type"":""Point"",""coordinates"":[-74.20931221957207,40.82391340994812]}"
86,Trees,10.0,5221,"{""type"":""Point"",""coordinates"":[-74.20931221957207,40.823988185176425]}"
87,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.2092134048908,40.82331520508677]}"
88,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.2092134048908,40.823389980989504]}"
89,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.2092134048908,40.82346475680796]}"
90,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.2092134048908,40.82353953254208]}"
91,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.2092134048908,40.82361430819191]}"
92,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.2092134048908,40.823689083757415]}"
93,Built-up,10.0,5221,"{""type"":""Point"",""coordinates"":[-74.2092134048908,40.82391340994812]}"
94,Built-up,10.0,5221,"{""type"":""Point"",""coordinates"":[-74.2092134048908,40.82398818517643]}"
95,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20911459020952,40.82331520508677]}"
96,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20911459020952,40.823389980989504]}"
97,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20911459020952,40.823464756807965]}"
98,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20911459020952,40.82353953254207]}"
99,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20911459020952,40.82361430819191]}"
100,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20911459020952,40.82368908375742]}"
101,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20911459020952,40.82383863463554]}"
102,Cropland,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20911459020952,40.82391340994812]}"
103,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20911459020952,40.823988185176425]}"
104,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20901577552826,40.82331520508677]}"
105,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20901577552826,40.823389980989504]}"
106,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20901577552826,40.82346475680796]}"
107,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20901577552826,40.82353953254207]}"
108,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20901577552826,40.82361430819191]}"
109,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20901577552826,40.82368908375742]}"
110,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20901577552826,40.82376385923863]}"
111,Cropland,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20901577552826,40.823838634635536]}"
112,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20901577552826,40.82391340994812]}"
113,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20901577552826,40.823988185176425]}"
114,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20891696084699,40.82331520508677]}"
115,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20891696084699,40.823389980989504]}"
116,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20891696084699,40.823464756807965]}"
117,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20891696084699,40.82353953254207]}"
118,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20891696084699,40.82361430819191]}"
119,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20891696084699,40.82368908375741]}"
120,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20891696084699,40.82376385923863]}"
121,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20891696084699,40.823838634635536]}"
122,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20891696084699,40.82391340994812]}"
123,Built-up,50.0,5221,"{""type"":""Point"",""coordinates"":[-74.20891696084699,40.823988185176425]}"
